,lam1,P11,lam2,P22
0,1.0,0.00016286270950455374,1.0,0.00032102069170970485
1,1.0018704850139368,-0.0014657643855409837,1.0015591278299243,0.00032102069170970485
2,1.003267845497293,0.00016286270950455374,1.0027203167145464,0.00032102069170970485
3,1.0043675822145597,0.0009771762570273223,1.0036035833317485,0.00032102069170970485
4,1.0056040512024813,-0.0014657643855409837,1.0045203181546223,0.00032102069170970485
5,1.0068427602826018,0.00016286270950455374,1.0056881811094023,0.001123572420983967
6,1.0083158498433518,-0.0014657643855409837,1.0067111871034602,0.00032102069170970485
7,1.0095185392367776,-0.000651450838018215,1.0075426000099086,0.00032102069170970485
8,1.010432846504284,0.0009771762570273223,1.0083428972886086,0.00032102069170970485
9,1.0116846909932924,-0.0014657643855409837,1.0093602208676027,0.00032102069170970485
10,1.012615484790565,0.00016286270950455374,1.0102442922648995,0.001123572420983967
11,1.0139549717601495,0.0009771762570273223,1.0107820165066341,0.001123572420983967
12,1.0151729827174503,-0.0014657643855409837,1.0116685836542656,0.00032102069170970485
13,1.016378794690713,0.0017914898045500909,1.0121735874484168,0.00032102069170970485
14,1.0174898983231,-0.000651450838018215,1.012554408024807,0.00032102069170970485
15,1.0188338657947789,0.00016286270950455374,1.0137816938353,0.00032102069170970485
16,1.0203756825644417,0.00016286270950455374,1.0147022851979162,0.001123572420983967
17,1.021706412264063,-0.000651450838018215,1.01551126038884,0.00032102069170970485
18,1.0230235538453887,0.00016286270950455374,1.0160315752971958,0.0019261241502582292
19,1.0241205738779966,0.0009771762570273223,1.0167634555387,0.0027286758795324914
20,1.0251861696997384,0.004234430447118397,1.0172324889489421,0.00593888279662954
21,1.0268315694376018,0.0009771762570273223,1.0180266051764089,0.0035312276088067533
22,1.0282203945591215,0.0017914898045500909,1.018838457762515,0.005136331067355278
23,1.0293669640380254,0.0034201168995956284,1.0196139405031226,0.005136331067355278
24,1.0304188431751293,0.00260580335207286,1.0201692276891845,0.00593888279662954
25,1.0315961441672854,0.004234430447118397,1.0208018634452647,0.006821689698831229
26,1.033175501179648,0.00260580335207286,1.0213376286817168,0.006821689698831229
27,1.0341154899072464,0.0034201168995956284,1.0217909718006817,0.008426793157379752
28,1.0350678596636322,0.004234430447118397,1.0224668812580004,0.01083444834520254
29,1.0358945663692458,0.0017914898045500909,1.0230494748097478,0.009229344886654015
30,1.0365731908973015,0.004234430447118397,1.0234372681844852,0.012439551803751062
31,1.037600826503821,0.004967312639888888,1.0241368501127528,0.013242103533025327
32,1.038527304311636,0.004967312639888888,1.0246534930345046,0.013242103533025327
33,1.0395859206469595,0.005781626187411658,1.0251352023991274,0.018137669081598324
34,1.0402709865952857,0.009038880377502731,1.0254399937295586,0.015730013893775537
35,1.0412099677780764,0.009038880377502731,1.0258600877571848,0.017335117352324063
36,1.0422219791483507,0.01066750747254827,1.0265148891930913,0.01974277254014685
37,1.0429588748652319,0.011481821020071038,1.0269189401194625,0.022150427727969636
38,1.0436475170599178,0.013924761662639345,1.0273598406055342,0.026243441547268372
39,1.0442117883303053,0.016286270950455373,1.0276796224952331,0.027045993276542637
40,1.0448602915302851,0.015471957402932604,1.028324509491652,0.030256200193639685
41,1.0453472454925132,0.016286270950455373,1.0288165313398336,0.032744110554389895
42,1.046311918410962,0.01710058449797814,1.0290060895188817,0.03675686920076121
43,1.0469159222185307,0.01791489804550091,1.0294470133212852,0.03916452438858399
44,1.0475936119936433,0.01791489804550091,1.0299304994550615,0.04486264166643126
45,1.0481806243262948,0.02442940642568306,1.0305185162561672,0.04486264166643126
46,1.0490178483890442,0.025243719973205826,1.0310675044747242,0.046467745124979774
47,1.0493378691189272,0.026790915713499088,1.0315585982309337,0.05216586240282704
48,1.0499434254782505,0.029233856356067393,1.0317438362973608,0.0578639796806743
49,1.0505680478333077,0.03086248345111293,1.0322582235688964,0.05946908313922283
50,1.0509730077282626,0.03493405118872677,1.0326455169127418,0.06508694524414266
51,1.051626210074856,0.037295560476542804,1.0332674344666446,0.06998251079271565
52,1.0522622976694245,0.04299575530920219,1.0336496655118812,0.07487807634128867
53,1.0528037465146682,0.04299575530920219,1.0341225291684333,0.07728573152911145
54,1.0532619438813884,0.04698589169206375,1.0345360159619432,0.08378640053623297
55,1.0536361063560948,0.046253009499293264,1.0351811235275075,0.09020681437042707
56,1.0544046482495584,0.051871772977200366,1.03592847949816,0.09510237991900007
57,1.0549399704717528,0.056757654262336976,1.036502017694393,0.10320815238467011
58,1.055381391514572,0.058304850002630235,1.0368086114781174,0.10641835930176717
59,1.0559267593909567,0.06237641774024408,1.0374370145919387,0.11291902830888868
60,1.0561615135300262,0.06880949476567395,1.0377335695126146,0.11701204212818742
61,1.0569286167905063,0.06962380831319671,1.0385525878350839,0.1243152628645832
62,1.0575747570964331,0.07613831669337887,1.0390436127623885,0.13402613878880176
63,1.0579122029793835,0.07613831669337887,1.0396011834409227,0.13643379397662456
64,1.0585275217933146,0.08257139371880874,1.0403163383709098,0.14774977335939166
65,1.0589922742052604,0.08745727500394536,1.0403669209653088,0.15505299409578743
66,1.0596998678653642,0.09226172493432969,1.041353685406294,0.164763870020006
67,1.060068534413744,0.09633329267194353,1.041402399748485,0.17046198729785328
68,1.060842948845071,0.10358068324489617,1.0422639391046034,0.18017286322207185
69,1.0611405474623787,0.10683793743498725,1.0429796354545164,0.18908118741701616
70,1.0611607013613538,0.11001376027032604,1.0429349550214984,0.19558185642413767
71,1.062497455761888,0.11571395510298543,1.044243114619255,0.20368762888980776
72,1.0625625916237176,0.1221470321284153,1.044396881020874,0.21420105654330057
